gene,len_min,len_median,len_max,Accession_count,forward_sum,reverse_sum,join_sum,N_exons_mean
accD,746,1476,1893,112,101,11,1,1.01
atpA,882,1524,1545,124,14,110,0,1.0
atpB,849,1497,1520,124,12,112,0,1.0
atpE,396,402,450,124,13,111,0,1.0
atpF,424,555,576,124,13,111,123,1.99
atpH,246,246,252,124,14,110,0,1.0
atpI,444,744,777,124,14,110,0,1.0
ccsA,579,966,1014,124,98,26,0,1.0
cemA,477,690,1367,108,99,9,0,1.0
clpP1,323,591,948,120,10,110,106,2.74
infA,120,234,330,105,5,100,0,1.0
matK,1209,1521,1584,122,5,117,0,1.0
ndhA,574,1092,1119,114,22,92,113,1.99
ndhB,773,1533,1569,116,44,72,113,1.97
ndhC,246,363,376,117,9,108,0,1.0
ndhD,1110,1503,1530,116,21,95,0,1.0
ndhE,105,306,321,117,23,94,0,1.0
ndhF,483,2226,2280,115,20,95,0,1.0
ndhG,99,531,594,116,23,93,0,1.0
ndhH,241,1182,1188,115,22,93,0,1.0
ndhI,477,513,615,114,22,92,0,1.0
ndhJ,312,477,522,114,7,107,0,1.0
ndhK,114,741,849,116,9,107,0,1.0
pafI,283,507,543,121,11,110,121,2.99
pafII,501,555,630,124,113,11,0,1.0
pbf1,132,132,135,124,8,116,0,1.0
petA,585,963,1071,123,112,11,0,1.0
petB,489,648,708,124,116,8,113,1.91
petD,479,483,539,124,116,8,90,1.73
petG,105,114,117,124,114,10,0,1.0
petL,96,96,189,123,110,13,0,1.0
petN,90,90,96,124,106,18,0,1.0
psaA,1425,2253,2262,124,10,114,0,1.0
psaB,1338,2205,2208,124,10,114,0,1.0
psaC,246,246,246,124,27,97,0,1.0
psaI,102,111,171,124,113,11,0,1.0
psaJ,129,135,153,124,114,10,0,1.0
psbA,954,1062,1065,124,7,117,3,1.02
psbB,1467,1527,1527,124,116,8,0,1.0
psbC,1344,1386,1416,124,101,23,0,1.0
psbD,684,1062,1062,124,101,23,0,1.0
psbE,246,252,258,124,10,114,0,1.0
psbF,120,120,120,124,10,114,0,1.0
psbH,219,222,231,124,116,8,0,1.0
psbI,111,111,120,124,114,10,0,1.0
psbJ,114,123,123,123,10,113,0,1.0
psbK,155,186,192,124,114,10,0,1.0
psbL,117,117,126,124,10,114,0,1.0
psbM,102,105,120,124,18,106,0,1.0
psbT,99,108,114,124,116,8,0,1.0
psbZ,186,189,192,124,101,23,0,1.0
rbcL,1428,1428,1554,124,113,11,0,1.0
rpl14,222,369,375,124,7,117,0,1.0
rpl16,392,408,492,120,7,113,102,1.85
rpl2,462,825,849,122,57,65,117,1.97
rpl20,186,354,465,124,9,115,0,1.0
rpl22,231,426,591,122,9,113,0,1.0
rpl23,261,282,312,117,46,71,0,1.0
rpl32,123,169,258,114,93,21,0,1.0
rpl33,171,201,222,123,113,10,0,1.0
rpl36,111,114,114,123,7,116,0,1.0
rpoA,771,1014,1077,124,8,116,0,1.0
rpoB,2661,3213,3333,121,14,107,0,1.0
rpoC1,1359,2049,2118,124,14,110,118,1.95
rpoC2,2459,4146,4545,124,14,110,0,1.0
rps11,390,417,447,121,8,113,0,1.0
rps12,232,372,723,123,80,114,118,2.89
rps14,294,303,325,124,10,114,0,1.0
rps15,207,273,297,120,25,95,0,1.0
rps16,143,261,276,103,3,100,90,1.87
rps18,174,306,579,124,114,10,0,1.0
rps19,150,279,420,124,14,110,1,1.01
rps2,357,711,771,123,14,109,0,1.0
rps3,360,657,864,124,7,117,0,1.0
rps4,351,606,891,124,11,113,0,1.0
rps7,396,468,780,123,58,65,0,1.0
rps8,387,403,429,124,8,116,0,1.0
rrn16,1490,1491,1514,124,68,56,0,1.0
rrn23,2766,2811,2934,124,77,47,0,1.0
rrn4.5,95,103,134,124,53,71,0,1.0
rrn5,121,121,149,124,66,58,0,1.0
trnA_UGC,73,105,125,120,55,65,14,1.12
trnC_ACA,72,95,97,59,3,56,57,1.97
trnC_GCA,71,71,97,124,105,19,2,1.02
trnD_GUC,74,77,97,124,29,95,1,1.01
trnE_UUC,73,75,80,124,17,107,10,1.08
trnF_GAA,73,74,74,123,112,11,0,1.0
trnG_GCC,71,72,74,121,100,21,0,1.0
trnG_UCC,48,71,92,117,106,11,116,1.99
trnH_GUG,74,75,79,119,13,106,5,1.04
trnI_GAU,72,88,108,120,57,63,35,1.29
trnK_UUU,37,72,90,115,6,109,112,1.97
trnL_CAA,78,83,94,121,66,55,4,1.03
trnL_UAA,84,85,89,112,103,9,112,2.0
trnL_UAG,80,80,99,123,96,27,2,1.02
trnM_CAU,73,74,75,124,11,113,0,1.0
trnN_GUU,72,74,94,123,97,26,1,1.01
trnP_UGG,74,76,77,123,10,113,0,1.0
trnQ_UUG,72,72,75,124,9,115,1,1.01
trnR_ACG,73,75,75,124,36,88,0,1.0
trnR_UCU,72,72,94,123,109,14,1,1.01
trnS_CGA,70,92,94,84,75,9,77,1.92
trnS_GCU,87,88,91,123,12,111,0,1.0
trnS_GGA,87,87,94,122,111,11,0,1.0
trnS_UGA,83,93,95,118,22,96,0,1.0
trnT_GGU,72,74,77,119,97,22,0,1.0
trnT_UGU,73,75,85,115,10,105,0,1.0
trnV_GAC,72,72,74,116,46,70,0,1.0
trnV_UAC,37,74,119,113,9,104,104,1.92
trnW_CCA,74,74,76,124,11,113,1,1.01
trnY_GUA,82,86,89,124,16,108,0,1.0
ycf1,3164,5538,6951,113,29,84,1,1.01
ycf2,255,6865,7374,122,67,55,0,1.0
